"season","yw","syndrome","active","method"
2015,201601,"active",2,"w0"
2015,201604,"active",1,"w0"
2016,201644,"active",1,"w0"
2016,201645,"active",2,"w0"
2016,201647,"active",3,"w0"
2016,201648,"active",9,"w0"
2016,201649,"active",59,"w0"
2016,201650,"active",125,"w0"
2016,201651,"active",168,"w0"
2016,201652,"active",216,"w0"
2016,201701,"active",343,"w0"
2016,201702,"active",339,"w0"
2016,201703,"active",325,"w0"
2016,201704,"active",342,"w0"
2016,201705,"active",318,"w0"
2016,201706,"active",299,"w0"
2016,201707,"active",298,"w0"
2016,201708,"active",321,"w0"
2016,201709,"active",311,"w0"
2016,201710,"active",300,"w0"
2016,201711,"active",313,"w0"
2016,201712,"active",273,"w0"
2016,201713,"active",254,"w0"
2016,201714,"active",76,"w0"
2016,201715,"active",10,"w0"
2016,201716,"active",8,"w0"
2016,201717,"active",5,"w0"
2017,201741,"active",8,"w0"
2017,201742,"active",2,"w0"
2017,201743,"active",2,"w0"
2017,201744,"active",3,"w0"
2017,201745,"active",6,"w0"
2017,201746,"active",10,"w0"
2017,201747,"active",40,"w0"
2017,201748,"active",238,"w0"
2017,201749,"active",101,"w0"
2017,201750,"active",347,"w0"
2017,201751,"active",388,"w0"
2017,201752,"active",346,"w0"
2017,201801,"active",390,"w0"
2017,201802,"active",398,"w0"
2017,201803,"active",424,"w0"
2017,201804,"active",469,"w0"
2017,201805,"active",509,"w0"
2017,201806,"active",546,"w0"
2017,201807,"active",420,"w0"
2017,201808,"active",447,"w0"
2017,201809,"active",467,"w0"
2017,201810,"active",443,"w0"
2017,201811,"active",448,"w0"
2017,201812,"active",437,"w0"
2017,201813,"active",443,"w0"
2017,201814,"active",437,"w0"
2017,201815,"active",406,"w0"
2017,201816,"active",410,"w0"
2017,201817,"active",92,"w0"
2018,201842,"active",18,"w0"
2018,201843,"active",21,"w0"
2018,201844,"active",49,"w0"
2018,201845,"active",367,"w0"
2018,201846,"active",306,"w0"
2018,201847,"active",343,"w0"
2018,201848,"active",287,"w0"
2018,201849,"active",421,"w0"
2018,201850,"active",319,"w0"
2018,201851,"active",379,"w0"
2018,201852,"active",365,"w0"
2018,201901,"active",341,"w0"
2018,201902,"active",422,"w0"
2018,201903,"active",422,"w0"
2018,201904,"active",434,"w0"
2018,201905,"active",430,"w0"
2018,201906,"active",453,"w0"
2018,201907,"active",464,"w0"
2018,201908,"active",425,"w0"
2018,201909,"active",434,"w0"
2018,201910,"active",414,"w0"
2018,201911,"active",376,"w0"
2018,201912,"active",400,"w0"
2018,201913,"active",393,"w0"
2018,201914,"active",386,"w0"
2018,201915,"active",259,"w0"
2018,201916,"active",4,"w0"
2018,201917,"active",5,"w0"
2018,201918,"active",1,"w0"
2019,201942,"active",1,"w0"
2019,201943,"active",5,"w0"
2019,201944,"active",3,"w0"
2019,201945,"active",22,"w0"
2019,201946,"active",44,"w0"
2019,201947,"active",368,"w0"
2019,201948,"active",410,"w0"
2019,201949,"active",413,"w0"
2019,201950,"active",443,"w0"
2019,201951,"active",446,"w0"
2019,201952,"active",419,"w0"
2019,202001,"active",404,"w0"
2019,202002,"active",406,"w0"
2019,202003,"active",471,"w0"
2019,202004,"active",518,"w0"
2019,202005,"active",496,"w0"
2019,202006,"active",498,"w0"
2019,202007,"active",476,"w0"
2019,202008,"active",491,"w0"
2019,202009,"active",429,"w0"
2019,202010,"active",604,"w0"
