"season","yw","syndrome","incidence","type","upper","lower","count","part","method","active"
2015,201601,"covid.ecdc",0,"adj",0,0,0,2,"w0",NA
2015,201604,"covid.ecdc",0,"adj",0,0,0,1,"w0",NA
2015,201604,"ili.ecdc",0,"adj",0,0,0,1,"w1_s2_if2_ex",NA
2016,201644,"covid.ecdc",0,"adj",0,0,0,1,"w0",NA
2016,201645,"covid.ecdc",0.739219629917933,"adj",2.91069158846446,0.00865093311048282,2,2,"w0",NA
2016,201647,"covid.ecdc",0.373119769453871,"adj",1.34783689847869,0.0451865350849563,2,3,"w0",NA
2016,201648,"covid.ecdc",0.186559884726935,"adj",0.545207151086898,0.0384731333103906,3,9,"w0",NA
2016,201649,"covid.ecdc",0.371980005011588,"adj",0.592503324952496,0.214340459703362,20,59,"w0",NA
2016,201650,"covid.ecdc",0.325404442205965,"adj",0.451107757703472,0.226158053643113,40,125,"w0",NA
2016,201650,"ili.ecdc",0.0349799783863004,"adj",0.194895965391216,0.000885616376078965,1,19,"w1_s2_if2_ex",NA
2016,201651,"covid.ecdc",0.395923970392521,"adj",0.523466684393018,0.29089313221807,59,168,"w0",NA
2016,201651,"ili.ecdc",0.0279839827090403,"adj",0.0817810726630347,0.00577096999655859,3,77,"w1_s2_if2_ex",NA
2016,201652,"covid.ecdc",0.228389086693046,"adj",0.307577059488858,0.16413768474035,51,216,"w0",NA
2016,201652,"ili.ecdc",0.0210418424657977,"adj",0.0595913739571707,0.00306816104305148,4,210,"w1_s2_if2_ex",NA
2016,201701,"covid.ecdc",0.179199665725266,"adj",0.232483858241656,0.134912080603469,65,343,"w0",NA
2016,201701,"ili.ecdc",0.00766684457781926,"adj",0.0224057733323383,0.00158108767029002,3,296,"w1_s2_if2_ex",NA
2016,201702,"covid.ecdc",0.138035283673762,"adj",0.186673667363876,0.0989170364078786,47,339,"w0",NA
2016,201702,"ili.ecdc",0.0208402869189468,"adj",0.0485632099880795,0.00592492734923528,6,351,"w1_s2_if2_ex",NA
2016,201703,"covid.ecdc",0.0926197338730817,"adj",0.140391570323523,0.0564448403879718,29,325,"w0",NA
2016,201703,"ili.ecdc",0.0167568758736768,"adj",0.0308164913468815,0.00803557331471242,10,452,"w1_s2_if2_ex",NA
2016,201704,"covid.ecdc",0.136189718200621,"adj",0.186892721534863,0.0950504020593002,51,342,"w0",NA
2016,201704,"ili.ecdc",0.0371991946341856,"adj",0.0615477173224204,0.0201118184225793,18,442,"w1_s2_if2_ex",NA
2016,201705,"covid.ecdc",0.0974727185384438,"adj",0.141657356503525,0.06355889023752,32,318,"w0",NA
