"season","yw","syndrome","active","method"
2021,202204,"active",31962,"unknown"
2021,202205,"active",31471,"unknown"
2021,202206,"active",30367,"unknown"
2021,202207,"active",30292,"unknown"
2021,202208,"active",29512,"unknown"
2021,202209,"active",29222,"unknown"
2021,202210,"active",23684,"unknown"
2021,202211,"active",27208,"unknown"
2021,202212,"active",26281,"unknown"
2021,202213,"active",25704,"unknown"
2021,202215,"active",23846,"unknown"
2021,202216,"active",24304,"unknown"
2021,202217,"active",23282,"unknown"
2021,202218,"active",22629,"unknown"
2021,202219,"active",22332,"unknown"
2021,202220,"active",22743,"unknown"
2021,202221,"active",22322,"unknown"
2021,202222,"active",21590,"unknown"
2021,202223,"active",22296,"unknown"
2021,202223,"active",22296,"unknown"
2021,202224,"active",22075,"unknown"
2021,202225,"active",21176,"unknown"
2021,202226,"active",21893,"unknown"
2021,202234,"active",22053,"unknown"
2022,202240,"active",22238,"unknown"
2022,202241,"active",22108,"unknown"
2022,202242,"active",22185,"unknown"
2022,202243,"active",22138,"unknown"
2022,202244,"active",21794,"unknown"
2022,202245,"active",21665,"unknown"
2022,202246,"active",21537,"unknown"
2022,202247,"active",21079,"unknown"
2022,202248,"active",21155,"unknown"
2022,202249,"active",21155,"unknown"
2022,202250,"active",20726,"unknown"
2022,202251,"active",20051,"unknown"
2022,202252,"active",20787,"unknown"
2022,202301,"active",21380,"unknown"
2022,202302,"active",20849,"unknown"
2022,202303,"active",19776,"unknown"
2022,202304,"active",20247,"unknown"
2022,202305,"active",20065,"unknown"
2022,202306,"active",19777,"unknown"
2022,202307,"active",19679,"unknown"
2022,202309,"active",19062,"unknown"
2022,202310,"active",19069,"unknown"
2022,202311,"active",18981,"unknown"
2022,202312,"active",18402,"unknown"
