"season","yw","syndrome","incidence","type","upper","lower","count","part","method","active"
2021,202204,"covid.ecdc",0.0888,"raw",0,0,2838.2256,NA,"unknown",31962
2021,202205,"covid.ecdc",0.1022,"raw",0,0,3216.3362,NA,"unknown",31471
2021,202206,"covid.ecdc",0.117,"raw",0,0,3552.939,NA,"unknown",30367
2021,202207,"covid.ecdc",0.1315,"raw",0,0,3983.398,NA,"unknown",30292
2021,202208,"covid.ecdc",0.1204,"raw",0,0,3553.2448,NA,"unknown",29512
2021,202209,"covid.ecdc",0.101,"raw",0,0,2951.422,NA,"unknown",29222
2021,202210,"covid.ecdc",0.0955,"raw",0,0,2261.822,NA,"unknown",23684
2021,202211,"covid.ecdc",0.0973,"raw",0,0,2647.3384,NA,"unknown",27208
2021,202212,"covid.ecdc",0.0911,"raw",0,0,2394.1991,NA,"unknown",26281
2021,202213,"covid.ecdc",0.0817,"raw",0,0,2100.0168,NA,"unknown",25704
2021,202215,"covid.ecdc",0.0636,"raw",0,0,1516.6056,NA,"unknown",23846
2021,202216,"covid.ecdc",0.0583,"raw",0,0,1416.9232,NA,"unknown",24304
2021,202217,"covid.ecdc",0.0442,"raw",0,0,1029.0644,NA,"unknown",23282
2021,202218,"covid.ecdc",0.0395,"raw",0,0,893.8455,NA,"unknown",22629
2021,202219,"covid.ecdc",0.0396,"raw",0,0,884.3472,NA,"unknown",22332
2021,202220,"covid.ecdc",0.0422,"raw",0,0,959.7546,NA,"unknown",22743
2021,202221,"covid.ecdc",0.0412,"raw",0,0,919.6664,NA,"unknown",22322
2021,202222,"covid.ecdc",0.0417,"raw",0,0,900.303,NA,"unknown",21590
2021,202223,"covid.ecdc",0.0377,"raw",0,0,840.5592,NA,"unknown",22296
2021,202223,"covid.ecdc",0.0377,"raw",0,0,840.5592,NA,"unknown",22296
2021,202224,"covid.ecdc",0.0488,"raw",0,0,1077.26,NA,"unknown",22075
2021,202225,"covid.ecdc",0.0543,"raw",0,0,1149.8568,NA,"unknown",21176
2021,202226,"covid.ecdc",0.0556,"raw",0,0,1217.2508,NA,"unknown",21893
2021,202234,"covid.ecdc",0.0354,"raw",0,0,780.6762,NA,"unknown",22053
2022,202240,"covid.ecdc",0.0694,"raw",0,0,1543.3172,NA,"unknown",22238
2022,202241,"covid.ecdc",0.0791,"raw",0,0,1748.7428,NA,"unknown",22108
2022,202242,"covid.ecdc",0.0743,"raw",0,0,1648.3455,NA,"unknown",22185
2022,202243,"covid.ecdc",0.0683,"raw",0,0,1512.0254,NA,"unknown",22138
2022,202244,"covid.ecdc",0.0581,"raw",0,0,1266.2314,NA,"unknown",21794
2022,202245,"covid.ecdc",0.0571,"raw",0,0,1237.0715,NA,"unknown",21665
2022,202246,"covid.ecdc",0.0584,"raw",0,0,1257.7608,NA,"unknown",21537
2022,202247,"covid.ecdc",0.0611,"raw",0,0,1287.9269,NA,"unknown",21079
2022,202248,"covid.ecdc",0.067,"raw",0,0,1417.385,NA,"unknown",21155
2022,202249,"covid.ecdc",0.0773,"raw",0,0,1635.2815,NA,"unknown",21155
2022,202250,"covid.ecdc",0.0905,"raw",0,0,1875.703,NA,"unknown",20726
2022,202251,"covid.ecdc",0.108,"raw",0,0,2165.508,NA,"unknown",20051
2022,202252,"covid.ecdc",0.1141,"raw",0,0,2371.7967,NA,"unknown",20787
2022,202301,"covid.ecdc",0.1072,"raw",0,0,2291.936,NA,"unknown",21380
2022,202302,"covid.ecdc",0.0746,"raw",0,0,1555.3354,NA,"unknown",20849
2022,202303,"covid.ecdc",0.0582,"raw",0,0,1150.9632,NA,"unknown",19776
2022,202304,"covid.ecdc",0.0542,"raw",0,0,1097.3874,NA,"unknown",20247
2022,202305,"covid.ecdc",0.0567,"raw",0,0,1137.6855,NA,"unknown",20065
2022,202306,"covid.ecdc",0.0593,"raw",0,0,1172.7761,NA,"unknown",19777
2022,202307,"covid.ecdc",0.0607,"raw",0,0,1194.5153,NA,"unknown",19679
2022,202309,"covid.ecdc",0.0525,"raw",0,0,1000.755,NA,"unknown",19062
2022,202310,"covid.ecdc",0.0542,"raw",0,0,1033.5398,NA,"unknown",19069
2022,202311,"covid.ecdc",0.0631,"raw",0,0,1197.7011,NA,"unknown",18981
2022,202312,"covid.ecdc",0.0634,"raw",0,0,1166.6868,NA,"unknown",18402
