"season","yw","syndrome","active","method"
2013,201342,"active",8,"w0"
2013,201343,"active",25,"w0"
2013,201344,"active",179,"w0"
2013,201345,"active",449,"w0"
2013,201346,"active",537,"w0"
2013,201347,"active",552,"w0"
2013,201348,"active",540,"w0"
2013,201349,"active",567,"w0"
2013,201350,"active",572,"w0"
2013,201351,"active",661,"w0"
2013,201352,"active",660,"w0"
2013,201401,"active",673,"w0"
2013,201402,"active",718,"w0"
2013,201403,"active",711,"w0"
2013,201404,"active",716,"w0"
2013,201405,"active",699,"w0"
2013,201406,"active",701,"w0"
2013,201407,"active",690,"w0"
2013,201408,"active",701,"w0"
2013,201409,"active",712,"w0"
2013,201410,"active",721,"w0"
2013,201411,"active",717,"w0"
2013,201412,"active",714,"w0"
2013,201413,"active",703,"w0"
2013,201414,"active",698,"w0"
2013,201415,"active",698,"w0"
2013,201416,"active",659,"w0"
2013,201417,"active",669,"w0"
2013,201418,"active",629,"w0"
2014,201444,"active",569,"w0"
2014,201445,"active",794,"w0"
2014,201446,"active",970,"w0"
2014,201447,"active",967,"w0"
2014,201448,"active",944,"w0"
2014,201449,"active",922,"w0"
2014,201450,"active",846,"w0"
2014,201451,"active",848,"w0"
2014,201452,"active",798,"w0"
2014,201501,"active",791,"w0"
2014,201502,"active",852,"w0"
2014,201503,"active",932,"w0"
2014,201504,"active",934,"w0"
2014,201505,"active",887,"w0"
2014,201506,"active",894,"w0"
2014,201507,"active",869,"w0"
2014,201508,"active",885,"w0"
2014,201509,"active",895,"w0"
2014,201510,"active",923,"w0"
2014,201511,"active",908,"w0"
2014,201512,"active",886,"w0"
2014,201513,"active",882,"w0"
2014,201514,"active",810,"w0"
2014,201515,"active",870,"w0"
2014,201516,"active",866,"w0"
2014,201517,"active",858,"w0"
2014,201518,"active",811,"w0"
2015,201543,"active",736,"w0"
2015,201544,"active",118,"w0"
2015,201545,"active",841,"w0"
2015,201546,"active",811,"w0"
2015,201547,"active",867,"w0"
2015,201548,"active",839,"w0"
2015,201549,"active",795,"w0"
2015,201550,"active",838,"w0"
2015,201551,"active",829,"w0"
2015,201552,"active",796,"w0"
2015,201553,"active",754,"w0"
2015,201601,"active",829,"w0"
2015,201602,"active",854,"w0"
2015,201603,"active",898,"w0"
2015,201604,"active",879,"w0"
2015,201605,"active",885,"w0"
2015,201606,"active",912,"w0"
2015,201607,"active",868,"w0"
2015,201608,"active",869,"w0"
2015,201609,"active",902,"w0"
2015,201610,"active",883,"w0"
2015,201611,"active",869,"w0"
2015,201612,"active",810,"w0"
2015,201613,"active",864,"w0"
2015,201614,"active",878,"w0"
2015,201615,"active",849,"w0"
2015,201616,"active",839,"w0"
2015,201617,"active",827,"w0"
2016,201641,"active",531,"w0"
2016,201642,"active",574,"w0"
2016,201643,"active",593,"w0"
2016,201644,"active",593,"w0"
2016,201645,"active",606,"w0"
2016,201646,"active",620,"w0"
2016,201647,"active",640,"w0"
2016,201648,"active",622,"w0"
2016,201649,"active",620,"w0"
2016,201650,"active",627,"w0"
2016,201651,"active",595,"w0"
2016,201652,"active",563,"w0"
2016,201701,"active",623,"w0"
2016,201702,"active",609,"w0"
2016,201703,"active",648,"w0"
2016,201704,"active",614,"w0"
2016,201705,"active",641,"w0"
2016,201706,"active",653,"w0"
2016,201707,"active",725,"w0"
2016,201708,"active",737,"w0"
2016,201709,"active",760,"w0"
2016,201710,"active",770,"w0"
2016,201711,"active",749,"w0"
2016,201712,"active",764,"w0"
2016,201713,"active",614,"w0"
2016,201714,"active",583,"w0"
2016,201715,"active",559,"w0"
2016,201716,"active",603,"w0"
2016,201717,"active",591,"w0"
2017,201741,"active",626,"w0"
2017,201742,"active",590,"w0"
2017,201743,"active",615,"w0"
2017,201744,"active",624,"w0"
2017,201745,"active",609,"w0"
2017,201746,"active",639,"w0"
2017,201747,"active",640,"w0"
2017,201748,"active",644,"w0"
2017,201749,"active",633,"w0"
2017,201750,"active",615,"w0"
2017,201751,"active",600,"w0"
2017,201752,"active",579,"w0"
2017,201801,"active",628,"w0"
2017,201802,"active",633,"w0"
2017,201803,"active",668,"w0"
2017,201804,"active",665,"w0"
2017,201805,"active",677,"w0"
2017,201806,"active",661,"w0"
2017,201807,"active",638,"w0"
2017,201808,"active",638,"w0"
2017,201809,"active",655,"w0"
2017,201810,"active",694,"w0"
2017,201811,"active",687,"w0"
2017,201812,"active",650,"w0"
2017,201813,"active",632,"w0"
2017,201814,"active",645,"w0"
2017,201815,"active",639,"w0"
2017,201816,"active",659,"w0"
2017,201817,"active",633,"w0"
2018,201842,"active",735,"w0"
2018,201843,"active",798,"w0"
2018,201844,"active",796,"w0"
2018,201845,"active",822,"w0"
2018,201846,"active",808,"w0"
2018,201847,"active",791,"w0"
2018,201848,"active",773,"w0"
2018,201849,"active",802,"w0"
2018,201850,"active",809,"w0"
2018,201851,"active",785,"w0"
2018,201852,"active",743,"w0"
2018,201901,"active",783,"w0"
2018,201902,"active",800,"w0"
2018,201903,"active",788,"w0"
2018,201904,"active",831,"w0"
2018,201905,"active",808,"w0"
2018,201906,"active",878,"w0"
2018,201907,"active",818,"w0"
2018,201908,"active",855,"w0"
