"season","yw","syndrome","active","method"
2012,201243,"active",2,"w0"
2012,201244,"active",2,"w0"
2012,201245,"active",21,"w0"
2012,201246,"active",107,"w0"
2012,201247,"active",206,"w0"
2012,201248,"active",199,"w0"
2012,201249,"active",54,"w0"
2012,201250,"active",188,"w0"
2012,201251,"active",146,"w0"
2012,201252,"active",45,"w0"
2012,201301,"active",34,"w0"
2012,201302,"active",46,"w0"
2012,201303,"active",237,"w0"
2012,201304,"active",314,"w0"
2012,201305,"active",76,"w0"
2012,201306,"active",301,"w0"
2012,201307,"active",309,"w0"
2012,201308,"active",324,"w0"
2012,201309,"active",335,"w0"
2012,201310,"active",311,"w0"
2012,201311,"active",317,"w0"
2012,201312,"active",289,"w0"
2012,201313,"active",236,"w0"
2012,201314,"active",316,"w0"
2012,201315,"active",318,"w0"
2012,201316,"active",282,"w0"
2012,201317,"active",15,"w0"
2012,201318,"active",1,"w0"
2013,201342,"active",1,"w0"
2013,201343,"active",4,"w0"
2013,201344,"active",1,"w0"
2013,201347,"active",142,"w0"
2013,201348,"active",97,"w0"
2013,201349,"active",293,"w0"
2013,201350,"active",287,"w0"
2013,201351,"active",296,"w0"
2013,201352,"active",264,"w0"
2013,201401,"active",266,"w0"
2013,201402,"active",321,"w0"
2013,201403,"active",326,"w0"
2013,201404,"active",306,"w0"
2013,201405,"active",316,"w0"
2013,201406,"active",336,"w0"
2013,201407,"active",335,"w0"
2013,201408,"active",325,"w0"
2013,201409,"active",344,"w0"
2013,201410,"active",331,"w0"
2013,201411,"active",327,"w0"
2013,201412,"active",319,"w0"
2013,201413,"active",323,"w0"
2013,201414,"active",315,"w0"
2013,201415,"active",18,"w0"
2013,201416,"active",255,"w0"
2013,201417,"active",56,"w0"
2013,201418,"active",1,"w0"
2014,201444,"active",1,"w0"
2014,201445,"active",2,"w0"
2014,201446,"active",1,"w0"
2014,201447,"active",12,"w0"
2014,201449,"active",309,"w0"
2014,201450,"active",316,"w0"
2014,201451,"active",78,"w0"
2014,201452,"active",281,"w0"
2014,201501,"active",280,"w0"
2014,201502,"active",302,"w0"
2014,201503,"active",329,"w0"
2014,201504,"active",324,"w0"
2014,201505,"active",332,"w0"
2014,201506,"active",332,"w0"
2014,201507,"active",331,"w0"
2014,201508,"active",325,"w0"
2014,201509,"active",326,"w0"
2014,201510,"active",323,"w0"
2014,201511,"active",312,"w0"
2014,201512,"active",305,"w0"
2014,201513,"active",303,"w0"
2014,201514,"active",274,"w0"
2014,201515,"active",299,"w0"
2014,201516,"active",300,"w0"
2014,201517,"active",287,"w0"
2014,201518,"active",19,"w0"
