"season","yw","syndrome","active","method"
2011,201202,"active",39,"w0"
2011,201203,"active",189,"w0"
2011,201204,"active",703,"w0"
2011,201205,"active",921,"w0"
2011,201206,"active",1257,"w0"
2011,201207,"active",2061,"w0"
2011,201208,"active",2156,"w0"
2011,201209,"active",2162,"w0"
2011,201210,"active",2230,"w0"
2011,201211,"active",2199,"w0"
2011,201212,"active",2144,"w0"
2011,201213,"active",2102,"w0"
2011,201214,"active",2044,"w0"
2011,201215,"active",1975,"w0"
2011,201216,"active",1918,"w0"
2011,201217,"active",1937,"w0"
2012,201246,"active",1718,"w0"
2012,201247,"active",2151,"w0"
2012,201248,"active",2320,"w0"
2012,201249,"active",2511,"w0"
2012,201250,"active",2658,"w0"
2012,201251,"active",2801,"w0"
2012,201252,"active",3274,"w0"
2012,201301,"active",3103,"w0"
2012,201302,"active",3311,"w0"
2012,201303,"active",3429,"w0"
2012,201304,"active",3273,"w0"
2012,201305,"active",3478,"w0"
2012,201306,"active",3461,"w0"
2012,201307,"active",3378,"w0"
2012,201308,"active",3405,"w0"
2012,201309,"active",3318,"w0"
2012,201310,"active",3314,"w0"
2012,201311,"active",3337,"w0"
2012,201312,"active",3424,"w0"
2012,201313,"active",3285,"w0"
2012,201314,"active",3245,"w0"
2012,201315,"active",3139,"w0"
2012,201316,"active",3185,"w0"
2012,201317,"active",172,"w0"
2012,201318,"active",5,"w0"
2013,201346,"active",2693,"w0"
2013,201347,"active",3232,"w0"
2013,201348,"active",3236,"w0"
2013,201349,"active",3252,"w0"
2013,201350,"active",3405,"w0"
2013,201351,"active",3316,"w0"
2013,201352,"active",3184,"w0"
2013,201401,"active",3274,"w0"
2013,201402,"active",3388,"w0"
2013,201403,"active",3553,"w0"
2013,201404,"active",3570,"w0"
2013,201405,"active",3520,"w0"
2013,201406,"active",3530,"w0"
2013,201407,"active",3648,"w0"
2013,201408,"active",3742,"w0"
2013,201409,"active",3704,"w0"
2013,201410,"active",3722,"w0"
2013,201411,"active",3822,"w0"
2013,201412,"active",3777,"w0"
2013,201413,"active",3745,"w0"
2013,201414,"active",3654,"w0"
2013,201415,"active",3645,"w0"
2013,201416,"active",99,"w0"
2014,201444,"active",1,"w0"
2014,201447,"active",3153,"w0"
2014,201448,"active",3420,"w0"
2014,201449,"active",3556,"w0"
2014,201450,"active",3534,"w0"
2014,201451,"active",3649,"w0"
2014,201452,"active",3422,"w0"
2014,201501,"active",3464,"w0"
2014,201502,"active",3712,"w0"
2014,201503,"active",3973,"w0"
2014,201504,"active",4111,"w0"
2014,201505,"active",4103,"w0"
2014,201506,"active",3990,"w0"
2014,201507,"active",4160,"w0"
2014,201508,"active",4061,"w0"
2014,201509,"active",4096,"w0"
2014,201510,"active",4141,"w0"
2014,201511,"active",4175,"w0"
2014,201512,"active",4115,"w0"
2014,201513,"active",4029,"w0"
2014,201514,"active",3932,"w0"
2014,201515,"active",3979,"w0"
2014,201516,"active",179,"w0"
2014,201517,"active",36,"w0"
2014,201518,"active",7,"w0"
2015,201542,"active",32,"w0"
2015,201543,"active",33,"w0"
2015,201544,"active",26,"w0"
2015,201545,"active",37,"w0"
2015,201546,"active",61,"w0"
2015,201548,"active",3476,"w0"
2015,201549,"active",3863,"w0"
2015,201550,"active",4026,"w0"
2015,201551,"active",4075,"w0"
2015,201552,"active",3710,"w0"
2015,201553,"active",3916,"w0"
2015,201601,"active",4150,"w0"
2015,201602,"active",4205,"w0"
2015,201603,"active",4283,"w0"
2015,201604,"active",4280,"w0"
2015,201605,"active",4332,"w0"
2015,201606,"active",4309,"w0"
2015,201607,"active",4231,"w0"
2015,201608,"active",4070,"w0"
2015,201609,"active",4197,"w0"
2015,201610,"active",4242,"w0"
2015,201611,"active",4308,"w0"
2015,201612,"active",4252,"w0"
2015,201613,"active",4313,"w0"
2015,201614,"active",4135,"w0"
2015,201615,"active",3987,"w0"
2015,201616,"active",4071,"w0"
2015,201617,"active",3906,"w0"
2016,201648,"active",3406,"w0"
2016,201649,"active",3707,"w0"
2016,201650,"active",3786,"w0"
2016,201651,"active",3641,"w0"
2016,201652,"active",3793,"w0"
2016,201701,"active",4085,"w0"
2016,201702,"active",4216,"w0"
2016,201703,"active",4192,"w0"
2016,201704,"active",4210,"w0"
2016,201705,"active",4148,"w0"
2016,201706,"active",4103,"w0"
2016,201707,"active",4052,"w0"
2016,201708,"active",4003,"w0"
2016,201709,"active",4034,"w0"
2016,201710,"active",4028,"w0"
2016,201711,"active",3896,"w0"
2016,201712,"active",3895,"w0"
2016,201713,"active",3866,"w0"
2016,201714,"active",3822,"w0"
2016,201715,"active",3692,"w0"
2016,201716,"active",138,"w0"
2017,201747,"active",3049,"w0"
2017,201748,"active",3549,"w0"
2017,201749,"active",3760,"w0"
2017,201750,"active",3803,"w0"
2017,201751,"active",3808,"w0"
2017,201752,"active",3728,"w0"
2017,201801,"active",3580,"w0"
2017,201802,"active",3978,"w0"
2017,201803,"active",3952,"w0"
2017,201804,"active",3771,"w0"
2017,201805,"active",3978,"w0"
2017,201806,"active",3905,"w0"
2017,201807,"active",3788,"w0"
2017,201808,"active",3745,"w0"
