"season","yw","syndrome","incidence","type","upper","lower","count","part","method","active"
2013,201344,"covid.ecdc",0,"adj",0,0,0,4,"w0",NA
2013,201345,"covid.ecdc",0.242157824341109,"adj",0.465247333782313,0.0929694043437963,14,60,"w0",NA
2013,201346,"covid.ecdc",0.182739270572577,"adj",0.34612104021859,0.070556578547861,16,82,"w0",NA
2013,201346,"ili.ecdc",0,"adj",0,0,0,23,"w1_s2_if2_ex",NA
2013,201347,"covid.ecdc",0.133466031332674,"adj",0.26086421778792,0.0495766470960131,13,85,"w0",NA
2013,201347,"ili.ecdc",0.0727923379643777,"adj",0.229737087805109,-0.000382998426966152,4,78,"w1_s2_if2_ex",NA
2013,201348,"covid.ecdc",0.234208847500048,"adj",0.414016087880022,0.102688251475378,23,103,"w0",NA
2013,201348,"ili.ecdc",0.00666498569912161,"adj",0.0371349235212132,0.000168742828148399,1,95,"w1_s2_if2_ex",NA
2013,201349,"covid.ecdc",0.193792546885388,"adj",0.284453063603959,0.121050577322114,46,193,"w0",NA
2013,201349,"ili.ecdc",0.00635133931328059,"adj",0.0353873977084502,0.00016080198917671,1,99,"w1_s2_if2_ex",NA
2013,201350,"covid.ecdc",0.240933812662169,"adj",0.429857687277534,0.10094497048606,25,166,"w0",NA
2013,201350,"ili.ecdc",0.0463765321727059,"adj",0.168404366914073,0.00532156213251821,2,171,"w1_s2_if2_ex",NA
2013,201351,"covid.ecdc",0.160510989372694,"adj",0.261634568272329,0.0839358570910973,29,169,"w0",NA
2013,201351,"ili.ecdc",0.034597272155904,"adj",0.117155400219378,-0.00389537445390603,4,208,"w1_s2_if2_ex",NA
2013,201352,"covid.ecdc",0.20383584173825,"adj",0.414269913945242,0.0488824110881496,24,112,"w0",NA
2013,201352,"ili.ecdc",0.0110741300846944,"adj",0.0283541713163383,0.00301732773058549,4,218,"w1_s2_if2_ex",NA
2013,201401,"covid.ecdc",0.220964542845225,"adj",0.37074314503221,0.104646190799909,35,157,"w0",NA
2013,201401,"ili.ecdc",0.0210678572342966,"adj",0.0415120775060295,0.00909560540136966,8,228,"w1_s2_if2_ex",NA
2013,201402,"covid.ecdc",0.132793597572364,"adj",0.219154947076623,0.0692012940974109,24,188,"w0",NA
2013,201402,"ili.ecdc",0.00782411364679493,"adj",0.0228653802900495,0.00161352033321302,3,231,"w1_s2_if2_ex",NA
2013,201403,"covid.ecdc",0.16676134154915,"adj",0.273888106377967,0.0878783947403107,24,200,"w0",NA
2013,201403,"ili.ecdc",0.0476696830943611,"adj",0.15406844311039,0.00373725085965307,3,231,"w1_s2_if2_ex",NA
2013,201404,"covid.ecdc",0.139645995615403,"adj",0.252627001639018,0.0570056680051724,23,198,"w0",NA
2013,201404,"ili.ecdc",0.0599634425663051,"adj",0.142425501340511,0.0101420222739726,9,240,"w1_s2_if2_ex",NA
2013,201405,"covid.ecdc",0.101245842166233,"adj",0.225261102444504,0.0151169609269279,17,179,"w0",NA
2013,201405,"ili.ecdc",0.00502198922445442,"adj",0.0181411518086792,0.000608186193455336,2,240,"w1_s2_if2_ex",NA
2013,201406,"covid.ecdc",0.15049248519906,"adj",0.288976382428735,0.0499174512448285,22,193,"w0",NA
2013,201406,"ili.ecdc",0.0350730735311731,"adj",0.101957651404936,-0.000911859448939026,6,240,"w1_s2_if2_ex",NA
2013,201407,"covid.ecdc",0.19821790383854,"adj",0.330281071795729,0.098213981253032,29,191,"w0",NA
2013,201407,"ili.ecdc",0.0343126464373091,"adj",0.107847689264601,-0.00292186287566972,5,237,"w1_s2_if2_ex",NA
2013,201408,"covid.ecdc",0.149766081494512,"adj",0.265947373086426,0.064784894503411,23,193,"w0",NA
2013,201408,"ili.ecdc",0.0582795609342728,"adj",0.133701205080182,0.00861578265325653,13,238,"w1_s2_if2_ex",NA
2013,201409,"covid.ecdc",0.166441895489015,"adj",0.314144901188585,0.0599873845675408,21,191,"w0",NA
2013,201409,"ili.ecdc",0.00990575856199725,"adj",0.0253626761774586,0.00269898581405583,4,244,"w1_s2_if2_ex",NA
2013,201410,"covid.ecdc",0.169420800580755,"adj",0.250804630553177,0.106698953068208,33,207,"w0",NA
2013,201410,"ili.ecdc",0.0244282281280023,"adj",0.0449243812749595,0.0117142849031567,10,247,"w1_s2_if2_ex",NA
2013,201411,"covid.ecdc",0.0597916621044894,"adj",0.113407077452382,0.0244868881177135,13,179,"w0",NA
2013,201411,"ili.ecdc",0.0101382881057061,"adj",0.0259580441628449,0.00276234228856418,4,249,"w1_s2_if2_ex",NA
2013,201412,"covid.ecdc",0.102556849902569,"adj",0.198697041773312,0.037366441678249,15,178,"w0",NA
2013,201412,"ili.ecdc",0.0397528742107702,"adj",0.107286982599954,0.00826516210645956,4,241,"w1_s2_if2_ex",NA
2013,201413,"covid.ecdc",0.0705915639098727,"adj",0.135575909338691,0.0278005566378727,13,178,"w0",NA
2013,201413,"ili.ecdc",0.0132971389563756,"adj",0.0310310866095778,0.00431754482463786,5,240,"w1_s2_if2_ex",NA
2013,201414,"covid.ecdc",0.115762107473296,"adj",0.208597240911658,0.0512878954706248,17,180,"w0",NA
2013,201414,"ili.ecdc",0.0353492351239741,"adj",0.0783545683007707,0.00936653700968479,9,238,"w1_s2_if2_ex",NA
2013,201415,"covid.ecdc",0.0141140873628458,"adj",0.0361376693247449,0.00384561377427562,4,173,"w0",NA
2013,201415,"ili.ecdc",0.00291818292772352,"adj",0.0162590746228015,7.38819950271371e-05,1,215,"w1_s2_if2_ex",NA
2013,201416,"covid.ecdc",0,"adj",0,0,0,4,"w0",NA
2013,201416,"ili.ecdc",0,"adj",0,0,0,180,"w1_s2_if2_ex",NA
2013,201417,"covid.ecdc",0,"adj",0,0,0,4,"w0",NA
2013,201417,"ili.ecdc",0,"adj",0,0,0,8,"w1_s2_if2_ex",NA
2014,201444,"covid.ecdc",0.337062717827132,"adj",1.87799326411344,0.00853368916861025,1,2,"w0",NA
2014,201444,"ili.ecdc",0,"adj",0,0,0,1,"w1_s2_if2_ex",NA
2014,201446,"covid.ecdc",0.238651187853534,"adj",0.611041825723099,0.0650244165040896,4,10,"w0",NA
2014,201446,"ili.ecdc",0.0767093103814931,"adj",0.427396922210527,0.00194211159084594,1,8,"w1_s2_if2_ex",NA
2014,201447,"covid.ecdc",0.150514296478711,"adj",0.331203300790165,0.029680703130306,14,94,"w0",NA
2014,201447,"ili.ecdc",0.00662919966259817,"adj",0.0369355364873295,0.00016783680414718,1,92,"w1_s2_if2_ex",NA
2014,201448,"covid.ecdc",0.20174569949112,"adj",0.466501194530366,0.0417873502923389,9,106,"w0",NA
2014,201448,"ili.ecdc",0.0135369371261458,"adj",0.0395606747709512,0.00279164187644565,3,133,"w1_s2_if2_ex",NA
2014,201449,"covid.ecdc",0.215118944726434,"adj",0.386371271432232,0.0927004226303968,20,124,"w0",NA
2014,201449,"ili.ecdc",0.0244075078486569,"adj",0.053124869117326,0.00895712521233175,6,148,"w1_s2_if2_ex",NA
2014,201450,"covid.ecdc",0.261943448054066,"adj",0.472632429144483,0.106802314882336,24,130,"w0",NA
2014,201450,"ili.ecdc",0.0153418620762986,"adj",0.0392812602250563,0.00418014106097719,4,155,"w1_s2_if2_ex",NA
2014,201451,"covid.ecdc",0.237678570752629,"adj",0.439038774377012,0.0859581939616743,28,158,"w0",NA
2014,201451,"ili.ecdc",0.0326532875272572,"adj",0.0619861110495407,0.0149311623367371,9,165,"w1_s2_if2_ex",NA
2014,201452,"covid.ecdc",0.181847424587885,"adj",0.314242327082465,0.0820908484118416,28,143,"w0",NA
2014,201452,"ili.ecdc",0.0345118639958275,"adj",0.0740121004718836,0.0113803005384833,8,184,"w1_s2_if2_ex",NA
2014,201501,"covid.ecdc",0.161704913827619,"adj",0.275178805885059,0.0787040631105091,23,149,"w0",NA
2014,201501,"ili.ecdc",0.0141306624386961,"adj",0.0329762523671035,0.00458818763051614,5,214,"w1_s2_if2_ex",NA
2014,201502,"covid.ecdc",0.196307851078529,"adj",0.345097336165503,0.0807576492854744,35,178,"w0",NA
2014,201502,"ili.ecdc",0.0245314038275841,"adj",0.0465682458646296,0.011217319928107,9,219,"w1_s2_if2_ex",NA
2014,201503,"covid.ecdc",0.105477906606877,"adj",0.201183476195243,0.0376663931201415,19,177,"w0",NA
2014,201503,"ili.ecdc",0.00521325410359662,"adj",0.0188320663154829,0.000631349257649251,2,227,"w1_s2_if2_ex",NA
2014,201504,"covid.ecdc",0.176329581021559,"adj",0.304912875599769,0.0761137125229588,36,199,"w0",NA
2014,201504,"ili.ecdc",0.0206525066411712,"adj",0.0406936712570101,0.00891628649597366,8,228,"w1_s2_if2_ex",NA
2014,201505,"covid.ecdc",0.101758619399742,"adj",0.198937325106178,0.0317186663265967,21,185,"w0",NA
2014,201505,"ili.ecdc",0.00244075078486569,"adj",0.0135989929794259,6.17944597087346e-05,1,242,"w1_s2_if2_ex",NA
2014,201506,"covid.ecdc",0.209581656366355,"adj",0.365232421754737,0.0957303932452731,23,189,"w0",NA
2014,201506,"ili.ecdc",0.0518558027426357,"adj",0.187320989287323,0.00627997828530597,2,253,"w1_s2_if2_ex",NA
2014,201507,"covid.ecdc",0.164501854683402,"adj",0.284602915982392,0.0735561548159342,29,195,"w0",NA
2014,201507,"ili.ecdc",0.0285114250975461,"adj",0.0498037218355783,0.0147322693978369,12,249,"w1_s2_if2_ex",NA
2014,201508,"covid.ecdc",0.12672324364223,"adj",0.23590293538898,0.046328621155248,24,164,"w0",NA
2014,201508,"ili.ecdc",0.0430131568653777,"adj",0.116351514849016,6.57967252865321e-05,8,243,"w1_s2_if2_ex",NA
2014,201509,"covid.ecdc",0.0460255862288959,"adj",0.0759122051327552,0.0257601712252863,15,195,"w0",NA
2014,201509,"ili.ecdc",0.00732225235459707,"adj",0.0213987286261054,0.00151002446953196,3,245,"w1_s2_if2_ex",NA
2014,201510,"covid.ecdc",0.0976257909387231,"adj",0.201343519042393,0.0293295570037226,13,191,"w0",NA
2014,201510,"ili.ecdc",0.00738942898170347,"adj",0.0215950472373541,0.00152387790503226,3,242,"w1_s2_if2_ex",NA
2014,201511,"covid.ecdc",0.0654574359449836,"adj",0.127211481730929,0.0241601622976319,14,173,"w0",NA
2014,201511,"ili.ecdc",0.0101314183522727,"adj",0.0259404548656032,0.00276047051196607,4,236,"w1_s2_if2_ex",NA
2014,201512,"covid.ecdc",0.0515441918658321,"adj",0.102310674275969,0.0193323547623158,11,167,"w0",NA
2014,201512,"ili.ecdc",0.00763457591474576,"adj",0.022311470605418,0.00157443309619446,3,232,"w1_s2_if2_ex",NA
2014,201513,"covid.ecdc",0.0561532206714198,"adj",0.0911893123625507,0.0320964174402414,16,171,"w0",NA
2014,201513,"ili.ecdc",0.0204558161017315,"adj",0.0403061124831338,0.0088313694817263,8,232,"w1_s2_if2_ex",NA
2014,201514,"covid.ecdc",0.0383546551907466,"adj",0.0705355764826654,0.0183925479945763,10,156,"w0",NA
2014,201514,"ili.ecdc",0.00501836609972385,"adj",0.0181280638363994,0.000607747416241802,2,237,"w1_s2_if2_ex",NA
2014,201515,"covid.ecdc",0.0369163556210936,"adj",0.0660535575550104,0.0184285117172154,11,181,"w0",NA
2014,201515,"ili.ecdc",0.00767093103814931,"adj",0.022417715703539,0.00158193039665253,3,232,"w1_s2_if2_ex",NA
