"season","yw","syndrome","active","method"
2019,202012,"active",3211,"w1_s2_if2_ex"
2019,202013,"active",5078,"w1_s2_if2_ex"
2019,202014,"active",22820,"w1_s2_if2_ex"
2019,202015,"active",25187,"w1_s2_if2_ex"
2019,202016,"active",26017,"w1_s2_if2_ex"
2019,202017,"active",25218,"w1_s2_if2_ex"
2019,202018,"active",24137,"w1_s2_if2_ex"
2019,202019,"active",23314,"w1_s2_if2_ex"
2019,202020,"active",22855,"w1_s2_if2_ex"
2019,202021,"active",35496,"w1_s2_if2_ex"
2019,202022,"active",37683,"w1_s2_if2_ex"
2019,202023,"active",36474,"w1_s2_if2_ex"
2019,202024,"active",32765,"w1_s2_if2_ex"
2020,202041,"active",115,"w1_s2_if2_ex"
2020,202042,"active",2256,"w1_s2_if2_ex"
2020,202043,"active",7215,"w1_s2_if2_ex"
2020,202044,"active",10890,"w1_s2_if2_ex"
2020,202045,"active",13292,"w1_s2_if2_ex"
2020,202046,"active",14435,"w1_s2_if2_ex"
2020,202047,"active",14606,"w1_s2_if2_ex"
2020,202048,"active",14537,"w1_s2_if2_ex"
2020,202049,"active",14411,"w1_s2_if2_ex"
2020,202050,"active",14392,"w1_s2_if2_ex"
2020,202051,"active",14332,"w1_s2_if2_ex"
2020,202052,"active",14715,"w1_s2_if2_ex"
2020,202053,"active",12138,"w1_s2_if2_ex"
2020,202101,"active",15040,"w1_s2_if2_ex"
2020,202102,"active",15069,"w1_s2_if2_ex"
2020,202103,"active",15082,"w1_s2_if2_ex"
2020,202104,"active",15014,"w1_s2_if2_ex"
2020,202105,"active",14909,"w1_s2_if2_ex"
2020,202106,"active",14802,"w1_s2_if2_ex"
2020,202107,"active",14748,"w1_s2_if2_ex"
2020,202108,"active",14745,"w1_s2_if2_ex"
2020,202109,"active",14698,"w1_s2_if2_ex"
2020,202110,"active",14596,"w1_s2_if2_ex"
2020,202111,"active",14522,"w1_s2_if2_ex"
2020,202112,"active",14413,"w1_s2_if2_ex"
2020,202113,"active",14357,"w1_s2_if2_ex"
2020,202114,"active",14239,"w1_s2_if2_ex"
2020,202115,"active",14115,"w1_s2_if2_ex"
2020,202116,"active",13834,"w1_s2_if2_ex"
2020,202117,"active",13726,"w1_s2_if2_ex"
2020,202118,"active",13696,"w1_s2_if2_ex"
2020,202119,"active",13653,"w1_s2_if2_ex"
2020,202120,"active",13564,"w1_s2_if2_ex"
2020,202121,"active",13459,"w1_s2_if2_ex"
2020,202122,"active",13373,"w1_s2_if2_ex"
2020,202123,"active",13259,"w1_s2_if2_ex"
2020,202124,"active",13113,"w1_s2_if2_ex"
2020,202125,"active",13003,"w1_s2_if2_ex"
2020,202126,"active",12895,"w1_s2_if2_ex"
2020,202127,"active",12768,"w1_s2_if2_ex"
2020,202128,"active",12603,"w1_s2_if2_ex"
2020,202129,"active",12526,"w1_s2_if2_ex"
2020,202130,"active",12391,"w1_s2_if2_ex"
2020,202131,"active",12315,"w1_s2_if2_ex"
2020,202132,"active",12148,"w1_s2_if2_ex"
2020,202133,"active",12023,"w1_s2_if2_ex"
2020,202134,"active",11899,"w1_s2_if2_ex"
2021,202135,"active",11753,"w1_s2_if2_ex"
2021,202136,"active",11594,"w1_s2_if2_ex"
2021,202137,"active",11525,"w1_s2_if2_ex"
2021,202138,"active",11416,"w1_s2_if2_ex"
2021,202139,"active",11321,"w1_s2_if2_ex"
2021,202140,"active",11014,"w1_s2_if2_ex"
2021,202141,"active",10905,"w1_s2_if2_ex"
2021,202142,"active",10935,"w1_s2_if2_ex"
2021,202143,"active",11221,"w1_s2_if2_ex"
2021,202144,"active",11392,"w1_s2_if2_ex"
2021,202145,"active",11432,"w1_s2_if2_ex"
2021,202146,"active",11458,"w1_s2_if2_ex"
2021,202147,"active",11439,"w1_s2_if2_ex"
2021,202148,"active",11352,"w1_s2_if2_ex"
2021,202149,"active",11288,"w1_s2_if2_ex"
2021,202150,"active",11253,"w1_s2_if2_ex"
2021,202151,"active",11250,"w1_s2_if2_ex"
2021,202152,"active",11274,"w1_s2_if2_ex"
2021,202201,"active",11320,"w1_s2_if2_ex"
2021,202202,"active",11408,"w1_s2_if2_ex"
2021,202203,"active",11534,"w1_s2_if2_ex"
2021,202204,"active",11547,"w1_s2_if2_ex"
2021,202205,"active",11519,"w1_s2_if2_ex"
2021,202206,"active",11399,"w1_s2_if2_ex"
2021,202207,"active",11252,"w1_s2_if2_ex"
2021,202208,"active",11098,"w1_s2_if2_ex"
2021,202209,"active",11019,"w1_s2_if2_ex"
2021,202210,"active",10968,"w1_s2_if2_ex"
2021,202211,"active",10893,"w1_s2_if2_ex"
2021,202212,"active",10744,"w1_s2_if2_ex"
2021,202213,"active",10584,"w1_s2_if2_ex"
2021,202214,"active",10444,"w1_s2_if2_ex"
2021,202215,"active",10249,"w1_s2_if2_ex"
2021,202216,"active",10036,"w1_s2_if2_ex"
2021,202217,"active",9822,"w1_s2_if2_ex"
2021,202218,"active",9718,"w1_s2_if2_ex"
2021,202219,"active",9621,"w1_s2_if2_ex"
2021,202220,"active",9532,"w1_s2_if2_ex"
2021,202221,"active",9420,"w1_s2_if2_ex"
2021,202222,"active",9307,"w1_s2_if2_ex"
2021,202223,"active",9290,"w1_s2_if2_ex"
2021,202224,"active",9811,"w1_s2_if2_ex"
2021,202225,"active",10133,"w1_s2_if2_ex"
2021,202226,"active",10595,"w1_s2_if2_ex"
2021,202227,"active",10645,"w1_s2_if2_ex"
2021,202228,"active",10530,"w1_s2_if2_ex"
2021,202229,"active",10253,"w1_s2_if2_ex"
2021,202230,"active",10124,"w1_s2_if2_ex"
2021,202231,"active",9960,"w1_s2_if2_ex"
2021,202232,"active",10034,"w1_s2_if2_ex"
2021,202233,"active",9963,"w1_s2_if2_ex"
2021,202234,"active",10078,"w1_s2_if2_ex"
2022,202235,"active",11668,"w1_s2_if2_ex"
2022,202236,"active",14150,"w1_s2_if2_ex"
2022,202237,"active",16626,"w1_s2_if2_ex"
2022,202238,"active",18468,"w1_s2_if2_ex"
2022,202239,"active",19695,"w1_s2_if2_ex"
2022,202240,"active",20121,"w1_s2_if2_ex"
2022,202241,"active",20096,"w1_s2_if2_ex"
2022,202242,"active",19960,"w1_s2_if2_ex"
2022,202243,"active",19755,"w1_s2_if2_ex"
2022,202244,"active",19493,"w1_s2_if2_ex"
2022,202245,"active",19183,"w1_s2_if2_ex"
2022,202246,"active",18404,"w1_s2_if2_ex"
2022,202247,"active",16173,"w1_s2_if2_ex"
2022,202248,"active",351,"w1_s2_if2_ex"
