"season","yw","syndrome","active","method"
2011,201147,"active",746,"w0"
2011,201148,"active",729,"w0"
2011,201149,"active",709,"w0"
2011,201150,"active",716,"w0"
2011,201151,"active",640,"w0"
2011,201152,"active",647,"w0"
2011,201201,"active",776,"w0"
2011,201202,"active",741,"w0"
2011,201203,"active",749,"w0"
2011,201204,"active",741,"w0"
2011,201205,"active",741,"w0"
2011,201206,"active",732,"w0"
2011,201207,"active",725,"w0"
2011,201208,"active",745,"w0"
2011,201209,"active",719,"w0"
2011,201210,"active",732,"w0"
2011,201211,"active",730,"w0"
2011,201212,"active",718,"w0"
2011,201213,"active",711,"w0"
2011,201214,"active",605,"w0"
2011,201215,"active",747,"w0"
2011,201216,"active",722,"w0"
2011,201217,"active",686,"w0"
2012,201247,"active",718,"w0"
2012,201248,"active",795,"w0"
2012,201249,"active",793,"w0"
2012,201250,"active",778,"w0"
2012,201251,"active",726,"w0"
2012,201252,"active",732,"w0"
2012,201301,"active",801,"w0"
2012,201302,"active",784,"w0"
2012,201303,"active",835,"w0"
2012,201304,"active",836,"w0"
2012,201305,"active",821,"w0"
2012,201306,"active",830,"w0"
2012,201307,"active",817,"w0"
2012,201308,"active",808,"w0"
2012,201309,"active",826,"w0"
2012,201310,"active",825,"w0"
2012,201311,"active",799,"w0"
2012,201312,"active",806,"w0"
2012,201313,"active",666,"w0"
2012,201314,"active",822,"w0"
2012,201315,"active",789,"w0"
2012,201316,"active",752,"w0"
2012,201317,"active",676,"w0"
2012,201318,"active",79,"w0"
2013,201344,"active",10,"w0"
2013,201345,"active",60,"w0"
2013,201346,"active",658,"w0"
2013,201347,"active",1017,"w0"
2013,201348,"active",915,"w0"
2013,201349,"active",947,"w0"
2013,201350,"active",990,"w0"
2013,201351,"active",939,"w0"
2013,201352,"active",863,"w0"
2013,201401,"active",980,"w0"
2013,201402,"active",1027,"w0"
2013,201403,"active",1027,"w0"
2013,201404,"active",811,"w0"
2013,201405,"active",141,"w0"
2013,201406,"active",990,"w0"
2013,201407,"active",995,"w0"
2013,201408,"active",973,"w0"
2013,201409,"active",920,"w0"
2013,201410,"active",944,"w0"
2013,201411,"active",976,"w0"
2013,201412,"active",975,"w0"
2013,201413,"active",134,"w0"
2013,201414,"active",1077,"w0"
2013,201415,"active",895,"w0"
2013,201416,"active",150,"w0"
2013,201417,"active",1006,"w0"
2013,201418,"active",74,"w0"
2014,201448,"active",28,"w0"
2014,201449,"active",356,"w0"
2014,201450,"active",792,"w0"
2014,201451,"active",830,"w0"
2014,201452,"active",853,"w0"
2014,201501,"active",853,"w0"
2014,201502,"active",936,"w0"
2014,201503,"active",925,"w0"
2014,201504,"active",893,"w0"
2014,201505,"active",944,"w0"
2014,201506,"active",932,"w0"
2014,201507,"active",464,"w0"
2014,201508,"active",1061,"w0"
2014,201509,"active",484,"w0"
2014,201510,"active",1089,"w0"
2014,201511,"active",947,"w0"
2014,201512,"active",361,"w0"
2014,201513,"active",1022,"w0"
2014,201514,"active",491,"w0"
2014,201515,"active",1040,"w0"
2014,201516,"active",141,"w0"
2014,201517,"active",891,"w0"
2014,201518,"active",478,"w0"
2015,201543,"active",1,"w0"
2015,201544,"active",1,"w0"
2015,201545,"active",3,"w0"
2015,201546,"active",3,"w0"
2015,201547,"active",8,"w0"
2015,201548,"active",2,"w0"
2015,201549,"active",2,"w0"
2015,201552,"active",619,"w0"
2015,201553,"active",816,"w0"
2015,201601,"active",613,"w0"
2015,201602,"active",1058,"w0"
2015,201603,"active",1094,"w0"
2015,201604,"active",1064,"w0"
