"season","yw","syndrome","active","method"
2011,201147,"active",1040,"w0"
2011,201148,"active",1059,"w0"
2011,201149,"active",1067,"w0"
2011,201150,"active",1100,"w0"
2011,201151,"active",1049,"w0"
2011,201152,"active",941,"w0"
2011,201201,"active",1172,"w0"
2011,201202,"active",1113,"w0"
2011,201203,"active",1135,"w0"
2011,201204,"active",1132,"w0"
2011,201205,"active",1116,"w0"
2011,201206,"active",1082,"w0"
2011,201207,"active",1083,"w0"
2011,201208,"active",1068,"w0"
2011,201209,"active",1037,"w0"
2011,201210,"active",1063,"w0"
2011,201211,"active",1027,"w0"
2011,201212,"active",1035,"w0"
2011,201213,"active",975,"w0"
2011,201214,"active",70,"w0"
2011,201215,"active",16,"w0"
2011,201216,"active",13,"w0"
2011,201217,"active",5,"w0"
2012,201247,"active",1959,"w0"
2012,201248,"active",1654,"w0"
2012,201249,"active",2063,"w0"
2012,201250,"active",2083,"w0"
2012,201251,"active",2182,"w0"
2012,201252,"active",1998,"w0"
2012,201301,"active",2291,"w0"
2012,201302,"active",2329,"w0"
2012,201303,"active",2364,"w0"
2012,201304,"active",2318,"w0"
2012,201305,"active",2323,"w0"
2012,201306,"active",2240,"w0"
2012,201307,"active",2186,"w0"
2012,201308,"active",2154,"w0"
2012,201309,"active",2109,"w0"
2012,201310,"active",2110,"w0"
2012,201311,"active",2028,"w0"
2012,201312,"active",1979,"w0"
2012,201313,"active",1828,"w0"
2012,201314,"active",1975,"w0"
2012,201315,"active",1899,"w0"
2012,201316,"active",158,"w0"
2012,201317,"active",33,"w0"
2012,201318,"active",4,"w0"
2013,201346,"active",2048,"w0"
2013,201347,"active",2301,"w0"
2013,201348,"active",2138,"w0"
2013,201349,"active",2272,"w0"
2013,201350,"active",2282,"w0"
2013,201351,"active",2235,"w0"
2013,201352,"active",1826,"w0"
2013,201401,"active",2066,"w0"
2013,201402,"active",2480,"w0"
2013,201403,"active",2486,"w0"
2013,201404,"active",2391,"w0"
2013,201405,"active",2484,"w0"
2013,201406,"active",2411,"w0"
2013,201407,"active",2291,"w0"
2013,201408,"active",2133,"w0"
2013,201409,"active",2223,"w0"
2013,201410,"active",2286,"w0"
2013,201411,"active",2235,"w0"
2013,201412,"active",2218,"w0"
2013,201413,"active",2292,"w0"
2013,201414,"active",2145,"w0"
2013,201415,"active",2254,"w0"
2013,201416,"active",72,"w0"
2013,201417,"active",20,"w0"
2013,201418,"active",7,"w0"
2014,201442,"active",9,"w0"
2014,201443,"active",17,"w0"
2014,201444,"active",22,"w0"
2014,201445,"active",74,"w0"
2014,201446,"active",194,"w0"
2014,201447,"active",1785,"w0"
2014,201448,"active",2056,"w0"
2014,201449,"active",2097,"w0"
2014,201450,"active",2086,"w0"
2014,201451,"active",2068,"w0"
2014,201452,"active",1903,"w0"
2014,201501,"active",2098,"w0"
2014,201502,"active",2392,"w0"
2014,201503,"active",2509,"w0"
2014,201504,"active",2635,"w0"
2014,201505,"active",2549,"w0"
2014,201506,"active",2572,"w0"
2014,201507,"active",2547,"w0"
2014,201508,"active",2544,"w0"
2014,201509,"active",2532,"w0"
2014,201510,"active",2608,"w0"
2014,201511,"active",2527,"w0"
2014,201512,"active",2587,"w0"
2014,201513,"active",2485,"w0"
2014,201514,"active",142,"w0"
2014,201515,"active",60,"w0"
2014,201516,"active",29,"w0"
2014,201517,"active",21,"w0"
2014,201518,"active",7,"w0"
2015,201542,"active",12,"w0"
2015,201543,"active",15,"w0"
2015,201544,"active",19,"w0"
2015,201545,"active",18,"w0"
2015,201546,"active",76,"w0"
2015,201547,"active",238,"w0"
2015,201548,"active",2079,"w0"
2015,201549,"active",1773,"w0"
2015,201550,"active",2273,"w0"
2015,201551,"active",2234,"w0"
2015,201552,"active",2074,"w0"
2015,201553,"active",2121,"w0"
2015,201601,"active",2329,"w0"
2015,201602,"active",2395,"w0"
2015,201603,"active",2363,"w0"
2015,201604,"active",2368,"w0"
2015,201605,"active",2360,"w0"
2015,201606,"active",2323,"w0"
2015,201607,"active",526,"w0"
2015,201608,"active",2585,"w0"
2015,201609,"active",2392,"w0"
2015,201610,"active",2280,"w0"
2015,201611,"active",2130,"w0"
2015,201612,"active",2252,"w0"
2015,201613,"active",2185,"w0"
2015,201614,"active",2254,"w0"
2015,201615,"active",2205,"w0"
2015,201616,"active",2245,"w0"
2015,201617,"active",1990,"w0"
2016,201641,"active",15,"w0"
2016,201642,"active",77,"w0"
2016,201643,"active",173,"w0"
2016,201644,"active",1524,"w0"
2016,201645,"active",1526,"w0"
2016,201646,"active",1653,"w0"
2016,201647,"active",1690,"w0"
2016,201648,"active",1655,"w0"
2016,201649,"active",1702,"w0"
2016,201650,"active",1718,"w0"
2016,201651,"active",1685,"w0"
2016,201652,"active",1371,"w0"
2016,201701,"active",1797,"w0"
2016,201702,"active",1788,"w0"
2016,201703,"active",1830,"w0"
2016,201704,"active",1888,"w0"
2016,201705,"active",1826,"w0"
2016,201706,"active",1848,"w0"
2016,201707,"active",1975,"w0"
2016,201708,"active",2017,"w0"
2016,201709,"active",1981,"w0"
2016,201710,"active",1994,"w0"
2016,201711,"active",2020,"w0"
2016,201712,"active",1961,"w0"
2016,201713,"active",1730,"w0"
2016,201714,"active",1816,"w0"
2016,201715,"active",1705,"w0"
2016,201716,"active",1705,"w0"
2016,201717,"active",1705,"w0"
2017,201741,"active",182,"w0"
2017,201742,"active",1765,"w0"
2017,201743,"active",1659,"w0"
2017,201744,"active",1449,"w0"
2017,201745,"active",1842,"w0"
2017,201746,"active",1858,"w0"
2017,201747,"active",1908,"w0"
2017,201748,"active",1814,"w0"
2017,201749,"active",1805,"w0"
2017,201750,"active",1806,"w0"
2017,201751,"active",1897,"w0"
2017,201752,"active",2460,"w0"
2017,201801,"active",3805,"w0"
2017,201802,"active",3560,"w0"
2017,201803,"active",3319,"w0"
2017,201804,"active",3059,"w0"
2017,201805,"active",3171,"w0"
2017,201806,"active",1631,"w0"
2017,201807,"active",2989,"w0"
2017,201808,"active",2822,"w0"
2017,201809,"active",2849,"w0"
2017,201810,"active",2664,"w0"
2017,201811,"active",2609,"w0"
2017,201812,"active",2615,"w0"
2017,201813,"active",2544,"w0"
2017,201814,"active",2550,"w0"
2017,201815,"active",2502,"w0"
