"season","yw","syndrome","incidence","type","upper","lower","count","part","method","active"
2020,202040,"ili.ecdc",0.006,"adj",0,0,NA,8874,"unknown",NA
2020,202041,"ili.ecdc",0.005,"adj",0,0,NA,8934,"unknown",NA
2020,202042,"ili.ecdc",0.005,"adj",0,0,NA,9131,"unknown",NA
2020,202043,"ili.ecdc",0.004,"adj",0,0,NA,9329,"unknown",NA
2020,202044,"ili.ecdc",0.003,"adj",0,0,NA,9398,"unknown",NA
2020,202045,"ili.ecdc",0.003,"adj",0,0,NA,9530,"unknown",NA
2020,202046,"ili.ecdc",0.003,"adj",0,0,NA,9611,"unknown",NA
2020,202047,"ili.ecdc",0.003,"adj",0,0,NA,9585,"unknown",NA
2020,202048,"ili.ecdc",0.004,"adj",0,0,NA,9606,"unknown",NA
2020,202049,"ili.ecdc",0.004,"adj",0,0,NA,9700,"unknown",NA
2020,202050,"ili.ecdc",0.006,"adj",0,0,NA,10476,"unknown",NA
2020,202051,"ili.ecdc",0.003,"adj",0,0,NA,10610,"unknown",NA
2020,202052,"ili.ecdc",0.003,"adj",0,0,NA,10715,"unknown",NA
2020,202053,"ili.ecdc",0.002,"adj",0,0,NA,10928,"unknown",NA
2020,202101,"ili.ecdc",0.001,"adj",0,0,NA,10900,"unknown",NA
2020,202102,"ili.ecdc",0.002,"adj",0,0,NA,10928,"unknown",NA
2020,202103,"ili.ecdc",0.003,"adj",0,0,NA,10866,"unknown",NA
2020,202104,"ili.ecdc",0.001,"adj",0,0,NA,10783,"unknown",NA
2020,202105,"ili.ecdc",0.001,"adj",0,0,NA,10797,"unknown",NA
2020,202106,"ili.ecdc",0.002,"adj",0,0,NA,10776,"unknown",NA
2020,202107,"ili.ecdc",0.001,"adj",0,0,NA,10691,"unknown",NA
2020,202108,"ili.ecdc",0.002,"adj",0,0,NA,10706,"unknown",NA
2020,202109,"ili.ecdc",0.001,"adj",0,0,NA,10646,"unknown",NA
2020,202110,"ili.ecdc",0.003,"adj",0,0,NA,10616,"unknown",NA
2020,202111,"ili.ecdc",0.003,"adj",0,0,NA,10655,"unknown",NA
2020,202112,"ili.ecdc",0.003,"adj",0,0,NA,10545,"unknown",NA
2020,202113,"ili.ecdc",0.003,"adj",0,0,NA,10542,"unknown",NA
2020,202114,"ili.ecdc",0.002,"adj",0,0,NA,10500,"unknown",NA
2020,202115,"ili.ecdc",0.002,"adj",0,0,NA,10395,"unknown",NA
2020,202116,"ili.ecdc",0.003,"adj",0,0,NA,10328,"unknown",NA
2020,202117,"ili.ecdc",0.002,"adj",0,0,NA,10282,"unknown",NA
2020,202118,"ili.ecdc",0.002,"adj",0,0,NA,10128,"unknown",NA
2020,202119,"ili.ecdc",0.002,"adj",0,0,NA,10102,"unknown",NA
2020,202120,"ili.ecdc",0.002,"adj",0,0,NA,9990,"unknown",NA
2020,202121,"ili.ecdc",0.003,"adj",0,0,NA,9893,"unknown",NA
2020,202122,"ili.ecdc",0.004,"adj",0,0,NA,9885,"unknown",NA
2020,202123,"ili.ecdc",0.004,"adj",0,0,NA,9820,"unknown",NA
2020,202124,"ili.ecdc",0.004,"adj",0,0,NA,9748,"unknown",NA
2020,202125,"ili.ecdc",0.004,"adj",0,0,NA,9726,"unknown",NA
2020,202126,"ili.ecdc",0.007,"adj",0,0,NA,9699,"unknown",NA
2020,202127,"ili.ecdc",0.007,"adj",0,0,NA,9648,"unknown",NA
2020,202128,"ili.ecdc",0.006,"adj",0,0,NA,9604,"unknown",NA
2020,202129,"ili.ecdc",0.006,"adj",0,0,NA,9642,"unknown",NA
2020,202130,"ili.ecdc",0.005,"adj",0,0,NA,9473,"unknown",NA
2020,202131,"ili.ecdc",0.005,"adj",0,0,NA,9496,"unknown",NA
2020,202132,"ili.ecdc",0.004,"adj",0,0,NA,9482,"unknown",NA
2020,202133,"ili.ecdc",0.006,"adj",0,0,NA,9433,"unknown",NA
2020,202134,"ili.ecdc",0.005,"adj",0,0,NA,9468,"unknown",NA
2021,202135,"ili.ecdc",0.007,"adj",0,0,NA,9496,"unknown",NA
2021,202136,"ili.ecdc",0.006,"adj",0,0,NA,9609,"unknown",NA
2021,202137,"ili.ecdc",0.009,"adj",0,0,NA,9665,"unknown",NA
2021,202138,"ili.ecdc",0.009,"adj",0,0,NA,9620,"unknown",NA
2021,202139,"ili.ecdc",0.01,"adj",0,0,NA,9638,"unknown",NA
2021,202140,"ili.ecdc",0.014,"adj",0,0,NA,9712,"unknown",NA
2021,202141,"ili.ecdc",0.013,"adj",0,0,NA,9687,"unknown",NA
2021,202142,"ili.ecdc",0.012,"adj",0,0,NA,9716,"unknown",NA
2021,202143,"ili.ecdc",0.012,"adj",0,0,NA,9681,"unknown",NA
2021,202144,"ili.ecdc",0.012,"adj",0,0,NA,9662,"unknown",NA
2021,202145,"ili.ecdc",0.012,"adj",0,0,NA,9630,"unknown",NA
2021,202146,"ili.ecdc",0.013,"adj",0,0,NA,9640,"unknown",NA
2021,202147,"ili.ecdc",0.009,"adj",0,0,NA,9610,"unknown",NA
2021,202148,"ili.ecdc",0.01,"adj",0,0,NA,9500,"unknown",NA
2021,202149,"ili.ecdc",0.009,"adj",0,0,NA,9543,"unknown",NA
2021,202150,"ili.ecdc",0.006,"adj",0,0,NA,9532,"unknown",NA
2021,202151,"ili.ecdc",0.007,"adj",0,0,NA,9552,"unknown",NA
2021,202152,"ili.ecdc",0.005,"adj",0,0,NA,9612,"unknown",NA
2021,202201,"ili.ecdc",0.004,"adj",0,0,NA,9637,"unknown",NA
2021,202202,"ili.ecdc",0.007,"adj",0,0,NA,9602,"unknown",NA
2021,202203,"ili.ecdc",0.011,"adj",0,0,NA,9483,"unknown",NA
2021,202204,"ili.ecdc",0.01,"adj",0,0,NA,9499,"unknown",NA
2021,202205,"ili.ecdc",0.011,"adj",0,0,NA,9410,"unknown",NA
2021,202206,"ili.ecdc",0.012,"adj",0,0,NA,9314,"unknown",NA
2021,202207,"ili.ecdc",0.012,"adj",0,0,NA,9250,"unknown",NA
2021,202208,"ili.ecdc",0.012,"adj",0,0,NA,9154,"unknown",NA
2021,202209,"ili.ecdc",0.013,"adj",0,0,NA,9148,"unknown",NA
2021,202210,"ili.ecdc",0.017,"adj",0,0,NA,9146,"unknown",NA
2021,202211,"ili.ecdc",0.016,"adj",0,0,NA,9078,"unknown",NA
2021,202212,"ili.ecdc",0.018,"adj",0,0,NA,9103,"unknown",NA
2021,202213,"ili.ecdc",0.014,"adj",0,0,NA,9035,"unknown",NA
2021,202214,"ili.ecdc",0.016,"adj",0,0,NA,8907,"unknown",NA
2021,202215,"ili.ecdc",0.016,"adj",0,0,NA,8857,"unknown",NA
2021,202216,"ili.ecdc",0.011,"adj",0,0,NA,8948,"unknown",NA
2021,202217,"ili.ecdc",0.013,"adj",0,0,NA,8862,"unknown",NA
2021,202218,"ili.ecdc",0.012,"adj",0,0,NA,8736,"unknown",NA
2021,202219,"ili.ecdc",0.013,"adj",0,0,NA,8761,"unknown",NA
2021,202220,"ili.ecdc",0.011,"adj",0,0,NA,8685,"unknown",NA
2021,202221,"ili.ecdc",0.01,"adj",0,0,NA,8776,"unknown",NA
2021,202222,"ili.ecdc",0.013,"adj",0,0,NA,8749,"unknown",NA
2021,202223,"ili.ecdc",0.018,"adj",0,0,NA,9112,"unknown",NA
2021,202224,"ili.ecdc",0.017,"adj",0,0,NA,9230,"unknown",NA
2021,202225,"ili.ecdc",0.021,"adj",0,0,NA,9269,"unknown",NA
2021,202226,"ili.ecdc",0.02,"adj",0,0,NA,9195,"unknown",NA
2021,202227,"ili.ecdc",0.02,"adj",0,0,NA,8191,"unknown",NA
2021,202228,"ili.ecdc",0.02,"adj",0,0,NA,8276,"unknown",NA
2021,202229,"ili.ecdc",0.016,"adj",0,0,NA,8277,"unknown",NA
2021,202230,"ili.ecdc",0.013,"adj",0,0,NA,8196,"unknown",NA
2021,202231,"ili.ecdc",0.01,"adj",0,0,NA,8203,"unknown",NA
2021,202232,"ili.ecdc",0.012,"adj",0,0,NA,8042,"unknown",NA
2021,202233,"ili.ecdc",0.008,"adj",0,0,NA,7993,"unknown",NA
2021,202234,"ili.ecdc",0.008,"adj",0,0,NA,8052,"unknown",NA
2022,202235,"ili.ecdc",0.008,"adj",0,0,NA,8093,"unknown",NA
2022,202236,"ili.ecdc",0.01,"adj",0,0,NA,8230,"unknown",NA
2022,202237,"ili.ecdc",0.016,"adj",0,0,NA,8223,"unknown",NA
2022,202238,"ili.ecdc",0.018,"adj",0,0,NA,8285,"unknown",NA
2022,202239,"ili.ecdc",0.023,"adj",0,0,NA,8326,"unknown",NA
2022,202240,"ili.ecdc",0.021,"adj",0,0,NA,8278,"unknown",NA
2022,202241,"ili.ecdc",0.021,"adj",0,0,NA,8508,"unknown",NA
2022,202242,"ili.ecdc",0.019,"adj",0,0,NA,8532,"unknown",NA
2022,202243,"ili.ecdc",0.018,"adj",0,0,NA,8574,"unknown",NA
2022,202244,"ili.ecdc",0.016,"adj",0,0,NA,8688,"unknown",NA
2022,202245,"ili.ecdc",0.016,"adj",0,0,NA,8840,"unknown",NA
2022,202246,"ili.ecdc",0.026,"adj",0,0,NA,8963,"unknown",NA
2022,202247,"ili.ecdc",0.035,"adj",0,0,NA,9077,"unknown",NA
2022,202248,"ili.ecdc",0.039,"adj",0,0,NA,9205,"unknown",NA
2022,202249,"ili.ecdc",0.04,"adj",0,0,NA,9293,"unknown",NA
2022,202250,"ili.ecdc",0.041,"adj",0,0,NA,9370,"unknown",NA
2022,202251,"ili.ecdc",0.029,"adj",0,0,NA,9438,"unknown",NA
2022,202252,"ili.ecdc",0.02,"adj",0,0,NA,9664,"unknown",NA
2022,202301,"ili.ecdc",0.011,"adj",0,0,NA,9461,"unknown",NA
2022,202302,"ili.ecdc",0.011,"adj",0,0,NA,9459,"unknown",NA
2022,202303,"ili.ecdc",0.013,"adj",0,0,NA,9420,"unknown",NA
2022,202304,"ili.ecdc",0.017,"adj",0,0,NA,9312,"unknown",NA
2022,202305,"ili.ecdc",0.018,"adj",0,0,NA,9187,"unknown",NA
2022,202306,"ili.ecdc",0.021,"adj",0,0,NA,9025,"unknown",NA
2022,202307,"ili.ecdc",0.022,"adj",0,0,NA,9129,"unknown",NA
2022,202308,"ili.ecdc",0.021,"adj",0,0,NA,9171,"unknown",NA
2022,202309,"ili.ecdc",0.024,"adj",0,0,NA,8904,"unknown",NA
2022,202310,"ili.ecdc",0.024,"adj",0,0,NA,8449,"unknown",NA
2022,202311,"ili.ecdc",0.021,"adj",0,0,NA,6727,"unknown",NA
