"season","yw","syndrome","active","method"
2013,201344,"active",4,"w0"
2013,201345,"active",60,"w0"
2013,201346,"active",82,"w0"
2013,201347,"active",85,"w0"
2013,201348,"active",103,"w0"
2013,201349,"active",193,"w0"
2013,201350,"active",166,"w0"
2013,201351,"active",169,"w0"
2013,201352,"active",112,"w0"
2013,201401,"active",157,"w0"
2013,201402,"active",188,"w0"
2013,201403,"active",200,"w0"
2013,201404,"active",198,"w0"
2013,201405,"active",179,"w0"
2013,201406,"active",193,"w0"
2013,201407,"active",191,"w0"
2013,201408,"active",193,"w0"
2013,201409,"active",191,"w0"
2013,201410,"active",207,"w0"
2013,201411,"active",179,"w0"
2013,201412,"active",178,"w0"
2013,201413,"active",178,"w0"
2013,201414,"active",180,"w0"
2013,201415,"active",173,"w0"
2013,201416,"active",4,"w0"
2013,201417,"active",4,"w0"
2014,201444,"active",2,"w0"
2014,201446,"active",10,"w0"
2014,201447,"active",94,"w0"
2014,201448,"active",106,"w0"
2014,201449,"active",124,"w0"
2014,201450,"active",130,"w0"
2014,201451,"active",158,"w0"
2014,201452,"active",143,"w0"
2014,201501,"active",149,"w0"
2014,201502,"active",178,"w0"
2014,201503,"active",177,"w0"
2014,201504,"active",199,"w0"
2014,201505,"active",185,"w0"
2014,201506,"active",189,"w0"
2014,201507,"active",195,"w0"
2014,201508,"active",164,"w0"
2014,201509,"active",195,"w0"
2014,201510,"active",191,"w0"
2014,201511,"active",173,"w0"
2014,201512,"active",167,"w0"
2014,201513,"active",171,"w0"
2014,201514,"active",156,"w0"
2014,201515,"active",181,"w0"
2014,201516,"active",177,"w0"
2014,201517,"active",171,"w0"
2014,201518,"active",19,"w0"
2015,201542,"active",135,"w0"
2015,201543,"active",150,"w0"
2015,201544,"active",144,"w0"
2015,201545,"active",184,"w0"
2015,201546,"active",281,"w0"
2015,201547,"active",306,"w0"
2015,201548,"active",262,"w0"
2015,201549,"active",283,"w0"
2015,201550,"active",227,"w0"
2015,201551,"active",246,"w0"
2015,201552,"active",172,"w0"
2015,201553,"active",184,"w0"
2015,201601,"active",242,"w0"
2015,201602,"active",223,"w0"
2015,201603,"active",239,"w0"
2015,201604,"active",210,"w0"
2015,201605,"active",237,"w0"
2015,201606,"active",222,"w0"
2015,201607,"active",220,"w0"
2015,201608,"active",223,"w0"
2015,201609,"active",227,"w0"
2015,201610,"active",207,"w0"
2015,201611,"active",153,"w0"
2015,201612,"active",169,"w0"
2015,201613,"active",177,"w0"
2015,201614,"active",208,"w0"
2015,201615,"active",204,"w0"
2015,201616,"active",43,"w0"
2015,201617,"active",178,"w0"
2016,201641,"active",3,"w0"
2016,201642,"active",5,"w0"
2016,201643,"active",18,"w0"
2016,201644,"active",121,"w0"
2016,201645,"active",139,"w0"
2016,201646,"active",148,"w0"
2016,201647,"active",133,"w0"
2016,201648,"active",140,"w0"
2016,201649,"active",133,"w0"
2016,201650,"active",134,"w0"
2016,201651,"active",117,"w0"
2016,201652,"active",125,"w0"
2016,201701,"active",148,"w0"
2016,201702,"active",167,"w0"
2016,201703,"active",13,"w0"
2016,201704,"active",17,"w0"
2016,201705,"active",158,"w0"
2016,201706,"active",155,"w0"
2016,201707,"active",149,"w0"
2016,201708,"active",155,"w0"
2016,201709,"active",155,"w0"
2016,201710,"active",151,"w0"
2016,201711,"active",138,"w0"
2016,201712,"active",143,"w0"
2016,201713,"active",124,"w0"
2016,201714,"active",141,"w0"
2016,201715,"active",14,"w0"
2016,201716,"active",133,"w0"
2016,201717,"active",19,"w0"
2017,201746,"active",13,"w0"
2017,201747,"active",118,"w0"
2017,201748,"active",135,"w0"
2017,201749,"active",129,"w0"
2017,201750,"active",17,"w0"
2017,201751,"active",128,"w0"
2017,201752,"active",26,"w0"
2017,201801,"active",134,"w0"
2017,201802,"active",31,"w0"
2017,201803,"active",142,"w0"
2017,201804,"active",8,"w0"
2017,201805,"active",4,"w0"
2017,201806,"active",1,"w0"
2017,201807,"active",3,"w0"
2017,201813,"active",1,"w0"
2019,201942,"active",1,"w0"
2019,201943,"active",1,"w0"
2019,201944,"active",2,"w0"
2019,201948,"active",84,"w0"
2019,201949,"active",108,"w0"
2019,201950,"active",124,"w0"
2019,201951,"active",117,"w0"
2019,201952,"active",109,"w0"
2019,202001,"active",106,"w0"
2019,202002,"active",126,"w0"
2019,202003,"active",122,"w0"
2019,202004,"active",135,"w0"
2019,202005,"active",126,"w0"
2019,202006,"active",118,"w0"
2019,202007,"active",142,"w0"
2019,202008,"active",129,"w0"
2019,202009,"active",137,"w0"
2019,202010,"active",130,"w0"
2019,202011,"active",111,"w0"
2019,202012,"active",88,"w0"
2019,202013,"active",102,"w0"
2019,202014,"active",97,"w0"
2019,202015,"active",41,"w0"
2019,202016,"active",100,"w0"
2019,202017,"active",14,"w0"
2019,202018,"active",7,"w0"
2019,202019,"active",100,"w0"
2019,202020,"active",9,"w0"
2020,202042,"active",1,"w0"
2020,202052,"active",1,"w0"
2020,202103,"active",1,"w0"
