"season","yw","syndrome","active","method"
2011,201147,"active",715,"w0"
2011,201148,"active",705,"w0"
2011,201149,"active",636,"w0"
2011,201150,"active",661,"w0"
2011,201151,"active",674,"w0"
2011,201152,"active",644,"w0"
2011,201201,"active",652,"w0"
2011,201202,"active",755,"w0"
2011,201203,"active",869,"w0"
2011,201204,"active",865,"w0"
2011,201205,"active",842,"w0"
2011,201206,"active",757,"w0"
2011,201207,"active",751,"w0"
2011,201208,"active",744,"w0"
2011,201209,"active",674,"w0"
2011,201210,"active",661,"w0"
2011,201211,"active",634,"w0"
2011,201212,"active",629,"w0"
2011,201213,"active",619,"w0"
2011,201214,"active",556,"w0"
2011,201215,"active",641,"w0"
2011,201216,"active",53,"w0"
2011,201217,"active",5,"w0"
2012,201242,"active",3,"w0"
2012,201243,"active",4,"w0"
2012,201244,"active",6,"w0"
2012,201245,"active",17,"w0"
2012,201246,"active",49,"w0"
2012,201247,"active",714,"w0"
2012,201248,"active",668,"w0"
2012,201249,"active",361,"w0"
2012,201250,"active",611,"w0"
2012,201251,"active",658,"w0"
2012,201252,"active",601,"w0"
2012,201301,"active",680,"w0"
2012,201302,"active",776,"w0"
2012,201303,"active",978,"w0"
2012,201304,"active",931,"w0"
2012,201305,"active",940,"w0"
2012,201306,"active",886,"w0"
2012,201307,"active",847,"w0"
2012,201308,"active",832,"w0"
2012,201309,"active",812,"w0"
2012,201310,"active",817,"w0"
2012,201311,"active",787,"w0"
2012,201312,"active",768,"w0"
2012,201313,"active",723,"w0"
2012,201314,"active",751,"w0"
2012,201315,"active",711,"w0"
2012,201316,"active",646,"w0"
2012,201317,"active",538,"w0"
2012,201318,"active",69,"w0"
2013,201342,"active",3,"w0"
2013,201343,"active",2,"w0"
2013,201344,"active",18,"w0"
2013,201345,"active",49,"w0"
2013,201346,"active",700,"w0"
2013,201347,"active",752,"w0"
2013,201348,"active",753,"w0"
2013,201349,"active",768,"w0"
2013,201350,"active",805,"w0"
2013,201351,"active",785,"w0"
2013,201352,"active",740,"w0"
2013,201401,"active",792,"w0"
2013,201402,"active",858,"w0"
2013,201403,"active",838,"w0"
2013,201404,"active",822,"w0"
2013,201405,"active",829,"w0"
2013,201406,"active",800,"w0"
2013,201407,"active",860,"w0"
2013,201408,"active",865,"w0"
2013,201409,"active",893,"w0"
2013,201410,"active",822,"w0"
2013,201411,"active",837,"w0"
2013,201412,"active",817,"w0"
2013,201413,"active",776,"w0"
2013,201414,"active",802,"w0"
2013,201415,"active",731,"w0"
2013,201416,"active",684,"w0"
2013,201417,"active",138,"w0"
2013,201418,"active",17,"w0"
2014,201442,"active",5,"w0"
2014,201443,"active",3,"w0"
2014,201444,"active",28,"w0"
2014,201445,"active",61,"w0"
2014,201446,"active",841,"w0"
2014,201447,"active",862,"w0"
2014,201448,"active",870,"w0"
2014,201449,"active",843,"w0"
2014,201450,"active",688,"w0"
2014,201451,"active",833,"w0"
2014,201452,"active",732,"w0"
2014,201501,"active",755,"w0"
2014,201502,"active",866,"w0"
2014,201503,"active",871,"w0"
2014,201504,"active",918,"w0"
2014,201505,"active",893,"w0"
2014,201506,"active",887,"w0"
2014,201507,"active",883,"w0"
2014,201508,"active",899,"w0"
2014,201509,"active",827,"w0"
2014,201510,"active",842,"w0"
2014,201511,"active",819,"w0"
2014,201512,"active",818,"w0"
2014,201513,"active",790,"w0"
2014,201514,"active",788,"w0"
2014,201515,"active",755,"w0"
2014,201516,"active",756,"w0"
2014,201517,"active",709,"w0"
2014,201518,"active",496,"w0"
2015,201542,"active",11,"w0"
2015,201543,"active",8,"w0"
2015,201544,"active",37,"w0"
2015,201545,"active",93,"w0"
2015,201546,"active",778,"w0"
2015,201547,"active",799,"w0"
2015,201548,"active",831,"w0"
2015,201549,"active",828,"w0"
2015,201550,"active",845,"w0"
2015,201551,"active",846,"w0"
2015,201552,"active",842,"w0"
2015,201553,"active",789,"w0"
2015,201601,"active",856,"w0"
2015,201602,"active",843,"w0"
2015,201603,"active",852,"w0"
2015,201604,"active",855,"w0"
2015,201605,"active",823,"w0"
2015,201606,"active",846,"w0"
2015,201607,"active",809,"w0"
2015,201608,"active",846,"w0"
2015,201609,"active",829,"w0"
2015,201610,"active",810,"w0"
2015,201611,"active",832,"w0"
2015,201612,"active",794,"w0"
2015,201613,"active",804,"w0"
2015,201614,"active",778,"w0"
2015,201615,"active",782,"w0"
