"yw","variable","syndrome","season","prop_raw","prop_adj","prop_adj_low","prop_adj_up","cum_prop_raw","cum_prop_adj","cum_prop_adj_low","cum_prop_adj_up","n_total","n_adj","n_weight","n_missing","total_adj","total_weight"
201217,"visit.emergency","covid.ecdc",2011,0,0,NA,NA,0.00872752661895619,0.00730101121105708,0.00462390168450563,0.0109531599436758,6,0,0,NA,6,1.62261406100137
201217,"visit.GP","covid.ecdc",2011,0,0,NA,NA,0.116599755629255,0.113907179963029,0.100994366669256,0.127846641923861,6,0,0,NA,6,1.62261406100137
201217,"visit.hospital","covid.ecdc",2011,0,0,NA,NA,0.00209460638854949,0.00460920164666886,0.00181755190394511,0.00959227558965547,6,0,0,NA,6,1.62261406100137
201217,"visit.no","covid.ecdc",2011,1,1,NA,NA,0.877290975737476,0.876233826054833,0.861683554147186,0.889765367892206,6,6,1.62261406100137,NA,6,1.62261406100137
201217,"visit.other","covid.ecdc",2011,0,0,NA,NA,0.0132658404608134,0.0132013136474464,0.00892198534221159,0.0187960712327215,6,0,0,NA,6,1.62261406100137
201217,"visit.plan","covid.ecdc",2011,0,0,NA,NA,0.00994938034561005,0.00609222808783739,0.00455893027303737,0.00797298551427472,6,0,0,NA,6,1.62261406100137
201217,"visit.emergency","ili.ecdc",2011,0,0,NA,NA,0.00969425801640567,0.00602454596442985,0.00389081996826131,0.00890166030366202,6,0,0,NA,6,1.62261406100137
201217,"visit.GP","ili.ecdc",2011,0,0,NA,NA,0.120432513049963,0.118799205501611,0.0992779979520858,0.140623601150554,6,0,0,NA,6,1.62261406100137
201217,"visit.hospital","ili.ecdc",2011,0,0,NA,NA,0.00149142431021626,0.00399003458795335,0.000660289023864234,0.0127500999883577,6,0,0,NA,6,1.62261406100137
201217,"visit.no","ili.ecdc",2011,1,1,NA,NA,0.881431767337808,0.875989372872459,0.8532422450972,0.896356071871971,6,6,1.62261406100137,NA,6,1.62261406100137
201217,"visit.other","ili.ecdc",2011,0,0,NA,NA,0.0104399701715138,0.00616551284578176,0.00408068180257341,0.00893372291498262,6,0,0,NA,6,1.62261406100137
201217,"visit.plan","ili.ecdc",2011,0,0,NA,NA,0.0093214019388516,0.00532671902837927,0.00339993056348303,0.00794453682485385,6,0,0,NA,6,1.62261406100137
201317,"visit.emergency","covid.ecdc",2012,0,0,NA,NA,0.0165402228145718,0.0218537659272177,0.018104155258637,0.0261370083373729,18,0,0,NA,18,15.4198193047006
201317,"visit.GP","covid.ecdc",2012,0.222222222222222,0.0954077381131249,0.014014418741368,0.28843830427226,0.142642334768642,0.14701910394083,0.138866775181061,0.155461754043299,18,4,1.47117008197458,NA,18,15.4198193047006
201317,"visit.hospital","covid.ecdc",2012,0,0,NA,NA,0.00348574943612877,0.00285353251647166,0.00191712611648183,0.00408649847006042,18,0,0,NA,18,15.4198193047006
201317,"visit.no","covid.ecdc",2012,0.777777777777778,0.904592261886875,0.71156169572774,0.985985581258632,0.863645683822022,0.858919159815729,0.85061476480139,0.866928356476766,18,14,13.948649222726,NA,18,15.4198193047006
201317,"visit.other","covid.ecdc",2012,0,0,NA,NA,0.01339621351924,0.0112382459461451,0.00926024554139314,0.0135097411743027,18,0,0,NA,18,15.4198193047006
201317,"visit.plan","covid.ecdc",2012,0,0,NA,NA,0.0113457726744583,0.0104565683846277,0.00839011059179034,0.0128733685272425,18,0,0,NA,18,15.4198193047006
201317,"visit.emergency","ili.ecdc",2012,0,0,NA,NA,0.0191053122087605,0.0280132126035508,0.0223808302446088,0.0345984618752418,15,0,0,NA,14,5.14909528691103
201317,"visit.GP","ili.ecdc",2012,0.333333333333333,0.285714285714286,0.0838775049543103,0.58106161506145,0.158084808946878,0.175313049442645,0.163458588907801,0.187659400134065,15,4,1.47117008197458,NA,14,5.14909528691103
201317,"visit.hospital","ili.ecdc",2012,0,0,NA,NA,0.00454333643988816,0.00322115989459481,0.0022676612528197,0.00443937649714948,15,0,0,NA,14,5.14909528691103
201317,"visit.no","ili.ecdc",2012,0.666666666666667,0.714285714285714,0.41893838493855,0.91612249504569,0.842031686859273,0.824541327451659,0.812224996814533,0.836368618433337,15,10,3.67792520493645,NA,14,5.14909528691103
201317,"visit.other","ili.ecdc",2012,0,0,NA,NA,0.0135135135135135,0.0114612412347071,0.00902431897568042,0.0143473258617243,15,0,0,NA,14,5.14909528691103
201317,"visit.plan","ili.ecdc",2012,0,0,NA,NA,0.0114165890027959,0.00970035632752163,0.00729126709161148,0.0126442324694578,15,0,0,NA,14,5.14909528691103
201418,"visit.emergency","covid.ecdc",2013,0,0,NA,NA,0.0132282084975909,0.0166839707156387,0.0134384435053039,0.0204657183539108,2,0,0,NA,2,0.941738672078065
201418,"visit.GP","covid.ecdc",2013,0,0,NA,NA,0.106000876040298,0.0981814194467181,0.0918629493816931,0.104783429907787,2,0,0,NA,2,0.941738672078065
